['so-called', 'VBN']     ['so-called', 'JJ']
['opposed', 'VBD']     ['opposed', 'VBN']
['to', 'IN']     ['to', 'TO']
['levamisole', 'NNP']     ['levamisole', 'NN']
['to', 'IN']     ['to', 'TO']
['colon-cancer', 'JJ']     ['colon-cancer', 'NN']
['both', 'CC']     ['both', 'DT']
['read', 'VBD']     ['read', 'VB']
['to', 'IN']     ['to', 'TO']
['following', 'JJ']     ['following', 'VBG']
['New', 'JJ']     ['New', 'NNP']
['to', 'IN']     ['to', 'TO']
['better', 'RBR']     ['better', 'JJR']
['stopping', 'JJ']     ['stopping', 'VBG']
['alternative', 'JJ']     ['alternative', 'NN']
['up', 'RP']     ['up', 'IN']
['out', 'RP']     ['out', 'IN']
['particular', 'JJ']     ['particular', 'NN']
['However', 'WRB']     ['However', 'RB']
['alternative', 'JJ']     ['alternative', 'NN']
['Instead', 'IN']     ['Instead', 'RB']
['as', 'RB']     ['as', 'IN']
['attempt', 'NN']     ['attempt', 'VBP']
['off', 'RP']     ['off', 'IN']
['lower-emission', 'JJ']     ['lower-emission', 'NN']
['to', 'IN']     ['to', 'TO']
['date', 'NN']     ['date', 'VB']
['up', 'RP']     ['up', 'IN']
['Hawkins', 'VBZ']     ['Hawkins', 'NNP']
['Resources', 'NNPS']     ['Resources', 'NNP']
['Oil', 'NN']     ['Oil', 'NNP']
['plans', 'VBZ']     ['plans', 'NNS']
['clean-fuels', 'JJ']     ['clean-fuels', 'NNS']
['program', 'NN']     ['program', 'VBP']
['said', 'VBN']     ['said', 'VBD']
['up', 'RP']     ['up', 'IN']
['clean-air', 'NN']     ['clean-air', 'JJ']
['in', 'RP']     ['in', 'IN']
['that', 'WDT']     ['that', 'IN']
['much', 'RB']     ['much', 'JJ']
['savings-and-loan', 'NN']     ['savings-and-loan', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['that', 'IN']     ['that', 'WDT']
['made', 'VBN']     ['made', 'VBD']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['in', 'RB']     ['in', 'IN']
['put', 'VBD']     ['put', 'VBP']
['filing', 'VBG']     ['filing', 'NN']
['to', 'IN']     ['to', 'TO']
['real-estate', 'JJ']     ['real-estate', 'NN']
['to', 'IN']     ['to', 'TO']
['seized', 'VBD']     ['seized', 'VBN']
['except', 'IN']     ['except', 'VB']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'IN']
['push', 'VB']     ['push', 'VBP']
['contributions', 'VBZ']     ['contributions', 'NNS']
['out', 'RP']     ['out', 'IN']
['off', 'RP']     ['off', 'IN']
['Airlines', 'NNP']     ['Airlines', 'NNPS']
['bankruptcy-law', 'NNP']     ['bankruptcy-law', 'NN']
['to', 'IN']     ['to', 'TO']
['Representatives', 'NNPS']     ['Representatives', 'NNS']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['bankruptcy-law', 'NNP']     ['bankruptcy-law', 'NN']
['earlier', 'JJR']     ['earlier', 'RBR']
['to', 'IN']     ['to', 'TO']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['reports', 'VBZ']     ['reports', 'NNS']
['made', 'VBN']     ['made', 'VBD']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['early', 'RB']     ['early', 'JJ']
['before', 'IN']     ['before', 'RB']
['to', 'IN']     ['to', 'TO']
['anticipate', 'VBP']     ['anticipate', 'VB']
['that', 'IN']     ['that', 'WDT']
['amended', 'VBN']     ['amended', 'VBD']
['bankruptcy-law', 'NNP']     ['bankruptcy-law', 'NN']
['off', 'RP']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['Airlines', 'NNP']     ['Airlines', 'NNPS']
['one', 'NN']     ['one', 'CD']
['presented', 'VBN']     ['presented', 'VBD']
['to', 'IN']     ['to', 'TO']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['daily', 'RB']     ['daily', 'JJ']
['out', 'RP']     ['out', 'IN']
['Eastern', 'JJ']     ['Eastern', 'NNP']
['calls', 'NNS']     ['calls', 'VBZ']
['Both', 'CC']     ['Both', 'DT']
['to', 'IN']     ['to', 'TO']
['have', 'VBP']     ['have', 'VB']
['come', 'VBP']     ['come', 'VB']
['along', 'RP']     ['along', 'IN']
['However', 'WRB']     ['However', 'RB']
['That', 'IN']     ['That', 'DT']
['forecast', 'VBN']     ['forecast', 'NN']
['bankruptcy-law', 'NNP']     ['bankruptcy-law', 'NN']
['to', 'IN']     ['to', 'TO']
['pre-bankruptcy', 'JJ']     ['pre-bankruptcy', 'NN']
['HOPES', 'VBZ']     ['HOPES', 'NNS']
['before', 'RB']     ['before', 'IN']
['figured', 'VBN']     ['figured', 'VBD']
['thanks', 'NNS']     ['thanks', 'VBZ']
['to', 'IN']     ['to', 'TO']
['most', 'JJS']     ['most', 'RBS']
['in', 'RP']     ['in', 'IN']
['off', 'RP']     ['off', 'IN']
['Ways', 'NNPS']     ['Ways', 'NNS']
['Means', 'NNPS']     ['Means', 'NNP']
['out', 'RP']     ['out', 'IN']
['offset', 'VBN']     ['offset', 'VB']
['to', 'IN']     ['to', 'TO']
['Interest', 'NNP']     ['Interest', 'NN']
['late-payment', 'JJ']     ['late-payment', 'NN']
['Notice', 'NNP']     ['Notice', 'NN']
['Fiscal-year', 'VBP']     ['Fiscal-year', 'JJ']
['request', 'VBP']     ['request', 'VB']
['Excise-tax', 'NN']     ['Excise-tax', 'JJ']
['to', 'IN']     ['to', 'TO']
['Extensions', 'NNP']     ['Extensions', 'NNS']
['employment-tax', 'NN']     ['employment-tax', 'JJ']
['ONE-DAY', 'NNP']     ['ONE-DAY', 'JJ']
['few', 'JJ']     ['few', 'NN']
['USED-CAR', 'NNP']     ['USED-CAR', 'NN']
['tax', 'NN']     ['tax', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['beneficiaries', 'VBZ']     ['beneficiaries', 'NNS']
['Revenue', 'NNP']     ['Revenue', 'NN']
['Procedure', 'NNP']     ['Procedure', 'NN']
['reporting', 'NN']     ['reporting', 'VBG']
['honesty', 'JJ']     ['honesty', 'NN']
['to', 'IN']     ['to', 'TO']
['hardworking', 'VBG']     ['hardworking', 'JJ']
['to', 'IN']     ['to', 'TO']
['hidden', 'JJ']     ['hidden', 'VBN']
['in', 'RP']     ['in', 'IN']
['only', 'JJ']     ['only', 'RB']
['kept', 'VBN']     ['kept', 'VBD']
['in', 'RP']     ['in', 'IN']
['so', 'IN']     ['so', 'RB']
['Asked', 'VBD']     ['Asked', 'VBN']
['to', 'IN']     ['to', 'TO']
['mounts', 'VBZ']     ['mounts', 'NNS']
['up', 'RP']     ['up', 'IN']
['steep', 'JJ']     ['steep', 'NN']
['picture-postcard', 'JJ']     ['picture-postcard', 'NN']
['Indian-summer', 'NN']     ['Indian-summer', 'JJ']
['back', 'NN']     ['back', 'JJ']
['reached', 'VBN']     ['reached', 'VBD']
['share', 'VB']     ['share', 'VBP']
['speeding', 'NN']     ['speeding', 'VBG']
['spooked', 'VBD']     ['spooked', 'VBN']
['to', 'IN']     ['to', 'TO']
['set', 'VB']     ['set', 'VBN']
['up', 'RP']     ['up', 'IN']
['use', 'VB']     ['use', 'NN']
['fast', 'JJ']     ['fast', 'RB']
['overrun', 'NN']     ['overrun', 'VBN']
['to', 'IN']     ['to', 'TO']
['fire', 'NN']     ['fire', 'VB']
['about', 'RB']     ['about', 'IN']
['to', 'IN']     ['to', 'TO']
['At', 'RB']     ['At', 'IN']
['least', 'RBS']     ['least', 'JJS']
['up', 'RP']     ['up', 'IN']
['many', 'JJ']     ['many', 'NN']
['proclaim', 'VBP']     ['proclaim', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Key', 'NN']     ['Key', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['down', 'IN']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['adopted', 'VBD']     ['adopted', 'VBN']
['hiking', 'NN']     ['hiking', 'VBG']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['motorized', 'VBN']     ['motorized', 'JJ']
['multiple-use', 'NN']     ['multiple-use', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['back', 'RP']     ['back', 'RB']
['Yet', 'CC']     ['Yet', 'RB']
['Pressure', 'NNP']     ['Pressure', 'NN']
['longer', 'RBR']     ['longer', 'RB']
['to', 'IN']     ['to', 'TO']
['run', 'VBN']     ['run', 'VB']
['fellow', 'JJ']     ['fellow', 'NN']
['that', 'WDT']     ['that', 'IN']
['back', 'RP']     ['back', 'RB']
['Concerned', 'VBN']     ['Concerned', 'NNP']
['mounted', 'VBD']     ['mounted', 'VBN']
['Biking', 'VBG']     ['Biking', 'NNP']
['Francisco-area', 'NNP']     ['Francisco-area', 'JJ']
['to', 'IN']     ['to', 'TO']
['school', 'NN']     ['school', 'VB']
['that', 'DT']     ['that', 'IN']
['most', 'JJS']     ['most', 'RBS']
['simply', 'RB']     ['simply', 'JJ']
['scorn', 'VBP']     ['scorn', 'NN']
['Few', 'NNP']     ['Few', 'JJ']
['such', 'PDT']     ['such', 'JJ']
['multi-gear', 'NN']     ['multi-gear', 'JJ']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'IN']
['first', 'RB']     ['first', 'JJ']
['mass', 'JJ']     ['mass', 'NN']
['make', 'VBP']     ['make', 'VB']
['City', 'NNP']     ['City', 'NN']
['bounce', 'NN']     ['bounce', 'VB']
['roll', 'VBP']     ['roll', 'NN']
['fewer', 'JJR']     ['fewer', 'RBR']
['Crested', 'VBN']     ['Crested', 'NNP']
['owns', 'NNS']     ['owns', 'VBZ']
['to', 'IN']     ['to', 'TO']
['attracted', 'VBD']     ['attracted', 'VBN']
['muses', 'NNS']     ['muses', 'VBZ']
['that', 'WDT']     ['that', 'IN']
['Securities', 'NNPS']     ['Securities', 'NNP']
['Co', 'VBZ']     ['Co', 'NNP']
['preferred', 'VBN']     ['preferred', 'JJ']
['Markets', 'NNP']     ['Markets', 'NNPS']
['Technologies', 'NNPS']     ['Technologies', 'NNP']
['in', 'RP']     ['in', 'IN']
['mixed', 'JJ']     ['mixed', 'VBN']
['mounted', 'VBD']     ['mounted', 'VBN']
['most', 'JJS']     ['most', 'RBS']
['That', 'WDT']     ['That', 'DT']
['cut', 'VBD']     ['cut', 'NN']
['short', 'JJ']     ['short', 'VB']
['more', 'RBR']     ['more', 'JJR']
['lower', 'RBR']     ['lower', 'JJR']
['Securities', 'NNPS']     ['Securities', 'NNP']
['Gold', 'NN']     ['Gold', 'NNP']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['pumped', 'VBD']     ['pumped', 'VBN']
['Fed', 'NNP']     ['Fed', 'JJ']
['any', 'RB']     ['any', 'DT']
['further', 'RB']     ['further', 'JJ']
['one-quarter', 'JJ']     ['one-quarter', 'NN']
['around', 'RP']     ['around', 'IN']
['that', 'IN']     ['that', 'DT']
['borrowing', 'VBG']     ['borrowing', 'NN']
['early', 'RB']     ['early', 'JJ']
['down', 'RP']     ['down', 'RB']
['That', 'WDT']     ['That', 'DT']
['coupled', 'VBD']     ['coupled', 'VBN']
['to', 'IN']     ['to', 'TO']
['junk-bond', 'JJ']     ['junk-bond', 'NN']
['shot', 'VBD']     ['shot', 'NN']
['Birinyi', 'JJ']     ['Birinyi', 'NNP']
['Associates', 'NNPS']     ['Associates', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Advertisers', 'NNPS']     ['Advertisers', 'NNS']
['that', 'WDT']     ['that', 'IN']
['about', 'RB']     ['about', 'IN']
['to', 'IN']     ['to', 'TO']
['mine', 'PRP$']     ['mine', 'VB']
['Spaced', 'VBD']     ['Spaced', 'NNP']
['Out', 'RP']     ['Out', 'IN']
['feel', 'VB']     ['feel', 'VBP']
['Daffynition', 'NNP']     ['Daffynition', 'NN']
['Repression', 'NNP']     ['Repression', 'NN']
['emote', 'NN']     ['emote', 'VB']
['wood-product', 'JJ']     ['wood-product', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['refocusing', 'VBG']     ['refocusing', 'NN']
['subsidiary', 'JJ']     ['subsidiary', 'NN']
['strengthened', 'VBD']     ['strengthened', 'VBN']
['improved', 'JJ']     ['improved', 'VBN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['operating', 'NN']     ['operating', 'VBG']
['to', 'IN']     ['to', 'TO']
['Pulp', 'NN']     ['Pulp', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Bankers', 'NNPS']     ['Bankers', 'NNP']
['to', 'IN']     ['to', 'TO']
['Step', 'VB']     ['Step', 'NN']
['up', 'RB']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['Get', 'VBP']     ['Get', 'VB']
['Citicorp', 'NNP']     ['Citicorp', 'NN']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['climbed', 'VBN']     ['climbed', 'VBD']
['net', 'NN']     ['net', 'JJ']
['Analysts', 'NNPS']     ['Analysts', 'NNS']
['There', 'RB']     ['There', 'EX']
['horrible', 'JJ']     ['horrible', 'NN']
['Earnings', 'NNP']     ['Earnings', 'NNS']
['Woods', 'VBZ']     ['Woods', 'NNP']
['choppy', 'VBD']     ['choppy', 'JJ']
['patterns', 'VBZ']     ['patterns', 'NNS']
['Overall', 'NNP']     ['Overall', 'RB']
['to', 'IN']     ['to', 'TO']
['earlier', 'JJR']     ['earlier', 'RBR']
['to', 'IN']     ['to', 'TO']
['attributes', 'VBZ']     ['attributes', 'NNS']
['to', 'IN']     ['to', 'TO']
['both', 'PDT']     ['both', 'DT']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['control', 'VB']     ['control', 'VBP']
['about', 'RB']     ['about', 'IN']
['return', 'VBP']     ['return', 'NN']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['year-ago', 'CC']     ['year-ago', 'JJ']
['That', 'WDT']     ['That', 'DT']
['to', 'IN']     ['to', 'TO']
['only', 'JJ']     ['only', 'RB']
['worries', 'NNS']     ['worries', 'VBZ']
['loan-loss', 'JJ']     ['loan-loss', 'NN']
['to', 'IN']     ['to', 'TO']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['to', 'IN']     ['to', 'TO']
['third-quarter', 'NN']     ['third-quarter', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['covering', 'NN']     ['covering', 'VBG']
['medium', 'JJ']     ['medium', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['interest', 'NN']     ['interest', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['interest', 'NN']     ['interest', 'VB']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['Trust', 'NNP']     ['Trust', 'NN']
['to', 'IN']     ['to', 'TO']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['next', 'IN']     ['next', 'JJ']
['that', 'WDT']     ['that', 'IN']
['ruling', 'VBG']     ['ruling', 'NN']
['I', 'NNP']     ['I', 'PRP']
['Indian', 'JJ']     ['Indian', 'NNP']
['Much', 'JJ']     ['Much', 'RB']
['minister', 'NN']     ['minister', 'NNP']
['promises', 'NNS']     ['promises', 'VBZ']
['ruling', 'VBG']     ['ruling', 'NN']
['called', 'VBN']     ['called', 'VBD']
['in', 'RP']     ['in', 'IN']
['ride', 'VB']     ['ride', 'NN']
['remain', 'VBP']     ['remain', 'VB']
['bogged', 'VBN']     ['bogged', 'VBD']
['down', 'RP']     ['down', 'RB']
['up', 'RP']     ['up', 'IN']
['Indian', 'JJ']     ['Indian', 'NNP']
['Clean', 'JJ']     ['Clean', 'NNP']
['arms-kickback', 'JJ']     ['arms-kickback', 'NN']
['There', 'RB']     ['There', 'EX']
['Indian', 'JJ']     ['Indian', 'NNP']
['to', 'IN']     ['to', 'TO']
['power', 'NN']     ['power', 'VB']
['captured', 'VBD']     ['captured', 'VBN']
['seats', 'VBZ']     ['seats', 'NNS']
['Indian', 'JJ']     ['Indian', 'NNP']
['in', 'RB']     ['in', 'IN']
['office', 'VB']     ['office', 'NN']
['most', 'JJS']     ['most', 'RBS']
['fractured', 'VBD']     ['fractured', 'VBN']
['arms-kickback', 'JJ']     ['arms-kickback', 'NN']
['Indian', 'JJ']     ['Indian', 'NNP']
['Industries', 'NNPS']     ['Industries', 'NNP']
['charged', 'VBD']     ['charged', 'VBN']
['Indian', 'JJ']     ['Indian', 'NNP']
['officials', 'VBZ']     ['officials', 'NNS']
['many', 'JJ']     ['many', 'NN']
['documentary', 'JJ']     ['documentary', 'NN']
['propelled', 'VBD']     ['propelled', 'VBN']
['front', 'JJ']     ['front', 'NN']
['That', 'WDT']     ['That', 'DT']
['up', 'RP']     ['up', 'IN']
['ruling', 'VBG']     ['ruling', 'NN']
['like', 'UH']     ['like', 'IN']
['Gujarat', 'NNP']     ['Gujarat', 'NN']
['well', 'RB']     ['well', 'JJ']
['light', 'VBP']     ['light', 'NN']
['I', 'NNP']     ['I', 'PRP']
['fear', 'VBP']     ['fear', 'NN']
['Industries', 'NNPS']     ['Industries', 'NNP']
['Swedish', 'JJ']     ['Swedish', 'NNP']
['reports', 'VBZ']     ['reports', 'NNS']
['to', 'IN']     ['to', 'TO']
['releases', 'VBZ']     ['releases', 'NNS']
['to', 'IN']     ['to', 'TO']
['neither', 'CC']     ['neither', 'DT']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['I', 'NNP']     ['I', 'PRP']
['to', 'IN']     ['to', 'TO']
['Indian', 'JJ']     ['Indian', 'NNP']
['Retired', 'NNP']     ['Retired', 'JJ']
['cancel', 'VB']     ['cancel', 'NN']
['to', 'IN']     ['to', 'TO']
['report', 'VB']     ['report', 'NN']
['state', 'NN']     ['state', 'VBP']
['to', 'IN']     ['to', 'TO']
['Indian', 'JJ']     ['Indian', 'NNP']
['Partners', 'NNPS']     ['Partners', 'NNP']
['to', 'IN']     ['to', 'TO']
['Securities', 'NNPS']     ['Securities', 'NNP']
['Parsow', 'NNPS']     ['Parsow', 'NNP']
['hold', 'VBP']     ['hold', 'VB']
['Parsow', 'NNPS']     ['Parsow', 'NNP']
['to', 'IN']     ['to', 'TO']
['Parsow', 'NNS']     ['Parsow', 'NNP']
['Parsow', 'VBZ']     ['Parsow', 'NNP']
['combined', 'JJ']     ['combined', 'VBN']
['bought', 'VBN']     ['bought', 'VBD']
['to', 'IN']     ['to', 'TO']
['inverse', 'NN']     ['inverse', 'JJ']
['close', 'JJ']     ['close', 'NN']
['bidding', 'VBG']     ['bidding', 'NN']
['mounted', 'VBD']     ['mounted', 'VBN']
['more', 'RBR']     ['more', 'JJR']
['Treasury', 'NNP']     ['Treasury', 'NN']
['Bond', 'NN']     ['Bond', 'NNP']
['Early', 'RB']     ['Early', 'NNP']
['Investors', 'NNPS']     ['Investors', 'NNP']
['stabilized', 'VBD']     ['stabilized', 'VBN']
['that', 'DT']     ['that', 'WDT']
['to', 'IN']     ['to', 'TO']
['Fed', 'NNP']     ['Fed', 'JJ']
['injected', 'VBD']     ['injected', 'VBN']
['pre-noon', 'JJ']     ['pre-noon', 'NN']
['She', 'NNP']     ['She', 'PRP']
['further', 'RBR']     ['further', 'JJ']
['to', 'IN']     ['to', 'TO']
['other', 'JJ']     ['other', 'NN']
['over', 'RB']     ['over', 'IN']
['above', 'RB']     ['above', 'IN']
['most', 'JJS']     ['most', 'RBS']
['opening', 'VBG']     ['opening', 'NN']
['so-called', 'VBD']     ['so-called', 'JJ']
['subordinated', 'JJ']     ['subordinated', 'VBD']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['Underwriters', 'NNPS']     ['Underwriters', 'NNS']
['Securities', 'NNPS']     ['Securities', 'NNP']
['served', 'VBD']     ['served', 'VBN']
['offering', 'VBG']     ['offering', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['market', 'NN']     ['market', 'VB']
['Banks', 'NNPS']     ['Banks', 'NNP']
['to', 'IN']     ['to', 'TO']
['expanded', 'VBD']     ['expanded', 'VBN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['Treasury', 'NNP']     ['Treasury', 'NN']
['benchmark', 'JJ']     ['benchmark', 'NN']
['Short-term', 'NN']     ['Short-term', 'JJ']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Issues', 'NNPS']     ['Issues', 'NNS']
['Investment-grade', 'VBP']     ['Investment-grade', 'JJ']
['point', 'VB']     ['point', 'NN']
['most', 'JJS']     ['most', 'RBS']
['owned', 'VBN']     ['owned', 'VBD']
['refinancing', 'VBG']     ['refinancing', 'NN']
['off', 'RP']     ['off', 'IN']
['Mortgage-Backed', 'VBN']     ['Mortgage-Backed', 'JJ']
['Securities', 'NNS']     ['Securities', 'NNPS']
['talk', 'NN']     ['talk', 'VB']
['circulated', 'VBN']     ['circulated', 'VBD']
['about', 'RB']     ['about', 'IN']
['Brothers', 'NNPS']     ['Brothers', 'NNP']
['Markets', 'NNP']     ['Markets', 'NNPS']
['up', 'RP']     ['up', 'IN']
['better', 'RB']     ['better', 'JJR']
['down', 'JJ']     ['down', 'RB']
['down', 'IN']     ['down', 'RB']
['down', 'IN']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['Long', 'JJ']     ['Long', 'NNP']
['point', 'VB']     ['point', 'NN']
['whipsaw', 'NN']     ['whipsaw', 'JJ']
['to', 'IN']     ['to', 'TO']
['dealer-led', 'VBN']     ['dealer-led', 'JJ']
['Securities', 'NNPS']     ['Securities', 'NNP']
['total', 'VBP']     ['total', 'JJ']
['Facilities', 'NNPS']     ['Facilities', 'NNP']
['Tentative', 'NNP']     ['Tentative', 'JJ']
['to', 'IN']     ['to', 'TO']
['in', 'RB']     ['in', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['veterans', 'VBZ']     ['veterans', 'NNS']
['Foreign', 'NNP']     ['Foreign', 'JJ']
['Bonds', 'NNPS']     ['Bonds', 'NNS']
['roller-coaster', 'JJ']     ['roller-coaster', 'NN']
['pulled', 'VBN']     ['pulled', 'VBD']
['down', 'RP']     ['down', 'RB']
['up', 'RB']     ['up', 'IN']
['wider-than-expected', 'VBN']     ['wider-than-expected', 'JJ']
['up', 'RB']     ['up', 'IN']
['No', 'DT']     ['No', 'NN']
['ended', 'VBN']     ['ended', 'VBD']
['off', 'JJ']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['subsidized', 'VBN']     ['subsidized', 'JJ']
['so-called', 'VBN']     ['so-called', 'JJ']
['Securities', 'NNPS']     ['Securities', 'NNP']
['to', 'IN']     ['to', 'TO']
['undercut', 'JJ']     ['undercut', 'VBP']
['to', 'IN']     ['to', 'TO']
['spending', 'VBG']     ['spending', 'NN']
['cast', 'VBD']     ['cast', 'NN']
['limit', 'VB']     ['limit', 'NN']
['to', 'IN']     ['to', 'TO']
['Republicans', 'NNPS']     ['Republicans', 'NNP']
['half', 'DT']     ['half', 'NN']
['to', 'IN']     ['to', 'TO']
['standing', 'NN']     ['standing', 'VBG']
['second', 'RB']     ['second', 'JJ']
['to', 'IN']     ['to', 'TO']
['further', 'RB']     ['further', 'JJ']
['to', 'IN']     ['to', 'TO']
['high-speed', 'NNP']     ['high-speed', 'JJ']
['cut', 'VBN']     ['cut', 'VB']
['advanced', 'JJ']     ['advanced', 'VBN']
['appropriated', 'VBD']     ['appropriated', 'VBN']
['to', 'IN']     ['to', 'TO']
['by', 'RP']     ['by', 'IN']
['to', 'IN']     ['to', 'TO']
['assisted', 'JJ']     ['assisted', 'VBN']
['expanded', 'JJ']     ['expanded', 'VBN']
['To', 'IN']     ['To', 'TO']
['Yesterday', 'NNP']     ['Yesterday', 'NN']
['sweeping', 'JJ']     ['sweeping', 'VBG']
['smoking', 'VBG']     ['smoking', 'NN']
['most', 'JJS']     ['most', 'RBS']
['longer', 'JJR']     ['longer', 'RB']
['to', 'IN']     ['to', 'TO']
['indicate', 'VBP']     ['indicate', 'VB']
['to', 'IN']     ['to', 'TO']
['process', 'NN']     ['process', 'VBP']
['Defense', 'NN']     ['Defense', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['separate', 'JJ']     ['separate', 'VB']
['Services', 'NNPS']     ['Services', 'NNP']
['over', 'RP']     ['over', 'IN']
['to', 'IN']     ['to', 'TO']
['Senate-passed', 'VBD']     ['Senate-passed', 'JJ']
['U.S', 'JJ']     ['U.S', 'NNP']
['Nations', 'NNPS']     ['Nations', 'NNP']
['Activities', 'NNPS']     ['Activities', 'NNP']
['no', 'DT']     ['no', 'RB']
['longer', 'RBR']     ['longer', 'RB']
['inasmuch', 'IN']     ['inasmuch', 'RB']
['get', 'VBP']     ['get', 'VB']
['noticed', 'VBN']     ['noticed', 'VBD']
['plunge', 'VBP']     ['plunge', 'NN']
['Gold', 'NN']     ['Gold', 'NNP']
['quite', 'PDT']     ['quite', 'RB']
['achieved', 'VBD']     ['achieved', 'VBN']
['both', 'CC']     ['both', 'DT']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['either', 'CC']     ['either', 'DT']
['particular', 'JJ']     ['particular', 'NN']
['gold', 'JJ']     ['gold', 'NN']
['gold', 'JJ']     ['gold', 'NN']
['to', 'IN']     ['to', 'TO']
['out', 'RP']     ['out', 'IN']
['that', 'IN']     ['that', 'DT']
['Producers', 'NNPS']     ['Producers', 'NNS']
['more', 'RBR']     ['more', 'JJR']
['to', 'IN']     ['to', 'TO']
['rebound', 'VB']     ['rebound', 'NN']
['up', 'RP']     ['up', 'IN']
['concerned', 'JJ']     ['concerned', 'VBN']
['dollar', 'NNP']     ['dollar', 'NN']
['gold', 'NNP']     ['gold', 'NN']
['association', 'NNP']     ['association', 'NN']
['so', 'IN']     ['so', 'RB']
['drops', 'NNS']     ['drops', 'VBZ']
['to', 'IN']     ['to', 'TO']
['safety', 'NN']     ['safety', 'VB']
['gold', 'JJ']     ['gold', 'NN']
['handcuffed', 'VBD']     ['handcuffed', 'VBN']
['gold', 'JJ']     ['gold', 'NN']
['gold', 'JJ']     ['gold', 'NN']
['back', 'VB']     ['back', 'RB']
['off', 'RP']     ['off', 'IN']
['rise', 'VB']     ['rise', 'VBP']
['much', 'RB']     ['much', 'JJ']
['to', 'IN']     ['to', 'TO']
['much', 'RB']     ['much', 'JJ']
['to', 'IN']     ['to', 'TO']
['either', 'CC']     ['either', 'DT']
